"","pets","sex","status","sign","pets_dislike","pets_like","pets_has"
"1913","has dogs and likes cats","f","single","libra",NA,"cats","dogs"
"1914",NA,"f","single","capricorn",NA,NA,NA
"1915","has dogs","f","single","aries",NA,NA,"dogs"
"1916","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"1917","likes dogs and has cats","f","single","capricorn",NA,"dogs","cats"
"1918",NA,"f","single","taurus",NA,NA,NA
"1919","likes dogs and has cats","f","single","taurus",NA,"dogs","cats"
"1920","has cats","f","single","scorpio",NA,NA,"cats"
"1921","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"1922","likes dogs","m","single","scorpio",NA,"dogs",NA
"1923","likes dogs and has cats","f","single","virgo",NA,"dogs","cats"
"1924","has dogs and likes cats","m","single","taurus",NA,"cats","dogs"
"1925","likes dogs","f","single","capricorn",NA,"dogs",NA
"1926",NA,"f","single","taurus",NA,NA,NA
"1927","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"1928","likes dogs and has cats","f","single","scorpio",NA,"dogs","cats"
"1929",NA,"m","single","aquarius",NA,NA,NA
"1930",NA,"m","single","virgo",NA,NA,NA
"1931","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"1932","likes dogs and has cats","f","single","aquarius",NA,"dogs","cats"
"1933","dislikes dogs and likes cats","f","single","libra","dogs","dogs/cats",NA
"1934","likes dogs","f","single","leo",NA,"dogs",NA
"1935","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"1936","likes dogs and likes cats","f","seeing someone","pisces",NA,"dogs/cats",NA
"1937","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"1938","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"1939","likes dogs and likes cats","f","available","cancer",NA,"dogs/cats",NA
"1940","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"1941",NA,"m","single","gemini",NA,NA,NA
"1942","has dogs","m","single","cancer",NA,NA,"dogs"
"1943",NA,"f","single","pisces",NA,NA,NA
"1944",NA,"f","married","taurus",NA,NA,NA
"1945","likes dogs and likes cats","m","seeing someone","libra",NA,"dogs/cats",NA
"1946",NA,"m","single","scorpio",NA,NA,NA
"1947",NA,"m","single","capricorn",NA,NA,NA
"1948","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"1949","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"1950","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"1951","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"1952","likes dogs","m","single","virgo",NA,"dogs",NA
"1953",NA,"m","single","aquarius",NA,NA,NA
"1954","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"1955","likes dogs","f","single","virgo",NA,"dogs",NA
"1956","likes dogs","f","single","virgo",NA,"dogs",NA
"1957",NA,"f","single","pisces",NA,NA,NA
"1958",NA,"f","single","virgo",NA,NA,NA
"1959","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"1960",NA,"f","single","aquarius",NA,NA,NA
"1961","has dogs and dislikes cats","f","single","gemini","cats","cats","dogs"
"1962","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"1963","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"1964","likes dogs","m","single","scorpio",NA,"dogs",NA
"1965","likes dogs","f","single","taurus",NA,"dogs",NA
"1966","has cats","f","single","virgo",NA,NA,"cats"
"1967","likes dogs","f","single","taurus",NA,"dogs",NA
"1968",NA,"m","single","gemini",NA,NA,NA
"1969","has dogs and likes cats","f","single","pisces",NA,"cats","dogs"
"1970","likes dogs and has cats","f","single","taurus",NA,"dogs","cats"
"1971","likes dogs","m","single","pisces",NA,"dogs",NA
"1972","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"1973",NA,"m","single","virgo",NA,NA,NA
"1974",NA,"f","single","aries",NA,NA,NA
"1975","dislikes cats","f","single","gemini","cats","cats",NA
"1976",NA,"f","single","leo",NA,NA,NA
"1977","likes dogs","f","single","virgo",NA,"dogs",NA
"1978","likes dogs","m","single","pisces",NA,"dogs",NA
"1979",NA,"m","single","virgo",NA,NA,NA
"1980",NA,"m","single","aquarius",NA,NA,NA
"1981","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"1982",NA,"m","single","aries",NA,NA,NA
"1983",NA,"m","single","leo",NA,NA,NA
"1984",NA,"m","single","capricorn",NA,NA,NA
"1985","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"1986","has dogs","m","single","virgo",NA,NA,"dogs"
"1987",NA,"m","single","capricorn",NA,NA,NA
"1988","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"1989","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"1990","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"1991","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"1992","likes dogs and has cats","m","available","sagittarius",NA,"dogs","cats"
"1993","likes dogs","m","single","taurus",NA,"dogs",NA
"1994","has dogs and likes cats","m","single","taurus",NA,"cats","dogs"
"1995","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"1996","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"1997","likes dogs","m","single","aquarius",NA,"dogs",NA
"1998","has dogs","m","single","pisces",NA,NA,"dogs"
"1999","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"2000","has dogs and dislikes cats","m","single","virgo","cats","cats","dogs"
"2001","has dogs and likes cats","m","single","taurus",NA,"cats","dogs"
"2002",NA,"m","single","taurus",NA,NA,NA
"2003","likes cats","m","single","sagittarius",NA,"cats",NA
"2004","likes dogs","m","single","aries",NA,"dogs",NA
"2005",NA,"m","single","cancer",NA,NA,NA
"2006","likes dogs and has cats","m","single","gemini",NA,"dogs","cats"
"2007",NA,"m","single","aquarius",NA,NA,NA
"2008","likes dogs","m","single","pisces",NA,"dogs",NA
"2009","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"2010","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"2011","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"2012","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"2013","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"2014",NA,"f","available","taurus",NA,NA,NA
"2015",NA,"m","single","aquarius",NA,NA,NA
"2016","likes dogs and has cats","f","seeing someone","gemini",NA,"dogs","cats"
"2017","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"2018","likes cats","f","seeing someone","cancer",NA,"cats",NA
"2019","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"2020","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"2021","likes dogs and has cats","m","single","aquarius",NA,"dogs","cats"
"2022","dislikes cats","f","single","cancer","cats","cats",NA
"2023","likes dogs and has cats","f","single","capricorn",NA,"dogs","cats"
"2024","has dogs","f","single","leo",NA,NA,"dogs"
"2025","has cats","m","single","capricorn",NA,NA,"cats"
"2026","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"2027","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"2028",NA,"m","single","aries",NA,NA,NA
"2029","likes dogs","m","single","libra",NA,"dogs",NA
"2030","likes dogs","f","single","cancer",NA,"dogs",NA
"2031","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"2032","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"2033","likes dogs and has cats","m","single","libra",NA,"dogs","cats"
"2034","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"2035",NA,"m","single","leo",NA,NA,NA
"2036","has dogs","m","single","leo",NA,NA,"dogs"
"2037","likes dogs","m","single","virgo",NA,"dogs",NA
"2038","likes dogs","m","single","sagittarius",NA,"dogs",NA
"2039",NA,"m","single","sagittarius",NA,NA,NA
"2040",NA,"m","single","aries",NA,NA,NA
"2041","has dogs","m","single","libra",NA,NA,"dogs"
"2042","dislikes dogs and dislikes cats","m","single","cancer","dogs/cats","dogs",NA
"2043","likes dogs","m","single","scorpio",NA,"dogs",NA
"2044",NA,"m","single","aries",NA,NA,NA
"2045","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"2046","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"2047",NA,"f","single","scorpio",NA,NA,NA
"2048",NA,"m","single","aquarius",NA,NA,NA
"2049","likes dogs and has cats","f","single","virgo",NA,"dogs","cats"
"2050","has dogs","f","single","cancer",NA,NA,"dogs"
"2051","likes dogs and has cats","f","single","cancer",NA,"dogs","cats"
"2052","has cats","f","single","taurus",NA,NA,"cats"
"2053","likes dogs and likes cats","m","seeing someone","scorpio",NA,"dogs/cats",NA
"2054","likes dogs and has cats","f","single","pisces",NA,"dogs","cats"
"2055","likes dogs","f","single","gemini",NA,"dogs",NA
"2056","likes dogs","f","single","aquarius",NA,"dogs",NA
"2057","likes dogs and likes cats","f","seeing someone","pisces",NA,"dogs/cats",NA
"2058",NA,"m","single","taurus",NA,NA,NA
"2059","likes cats","m","single","aquarius",NA,"cats",NA
"2060",NA,"f","single","scorpio",NA,NA,NA
"2061","likes dogs and has cats","m","available","cancer",NA,"dogs","cats"
"2062","has dogs","f","single","aquarius",NA,NA,"dogs"
"2063","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"2064","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"2065","likes dogs and has cats","f","single","gemini",NA,"dogs","cats"
"2066","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"2067","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"2068","has dogs and likes cats","f","single","taurus",NA,"cats","dogs"
"2069",NA,"f","single","capricorn",NA,NA,NA
"2070","likes dogs and dislikes cats","f","single","gemini","cats","dogs",NA
"2071","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"2072","likes dogs","f","single","taurus",NA,"dogs",NA
"2073","has dogs and likes cats","f","single","libra",NA,"cats","dogs"
"2074","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"2075","likes dogs and dislikes cats","f","single","aquarius","cats","dogs",NA
"2076","likes dogs and has cats","f","single","virgo",NA,"dogs","cats"
"2077",NA,"f","single","leo",NA,NA,NA
"2078","has dogs and likes cats","f","single","gemini",NA,"cats","dogs"
"2079","has dogs","f","single","scorpio",NA,NA,"dogs"
"2080",NA,"m","single","taurus",NA,NA,NA
"2081","likes dogs and has cats","m","single","leo",NA,"dogs","cats"
"2082","has cats","f","single","aquarius",NA,NA,"cats"
"2083",NA,"m","single","aries",NA,NA,NA
"2084",NA,"f","single","sagittarius",NA,NA,NA
"2085","has cats","f","single","cancer",NA,NA,"cats"
"2086","has dogs and likes cats","f","single","gemini",NA,"cats","dogs"
"2087","has dogs","f","single","scorpio",NA,NA,"dogs"
"2088","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"2089","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"2090","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"2091","has dogs and has cats","f","single","aquarius",NA,NA,"dogs/cats"
"2092","likes dogs","f","married","capricorn",NA,"dogs",NA
"2093","has dogs","f","single","sagittarius",NA,NA,"dogs"
"2094","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"2095","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"2096","likes dogs","f","single","pisces",NA,"dogs",NA
"2097","likes dogs and dislikes cats","f","single","gemini","cats","dogs",NA
"2098",NA,"f","single","leo",NA,NA,NA
"2099","likes dogs","f","single","scorpio",NA,"dogs",NA
"2100","has dogs and likes cats","m","single","virgo",NA,"cats","dogs"
"2101","likes dogs and dislikes cats","f","seeing someone","virgo","cats","dogs",NA
"2102","likes dogs","m","single","gemini",NA,"dogs",NA
"2103","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"2104","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"2105","likes dogs and likes cats","m","married","taurus",NA,"dogs/cats",NA
"2106","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"2107",NA,"m","single","aquarius",NA,NA,NA
"2108",NA,"m","single","cancer",NA,NA,NA
"2109",NA,"f","single","libra",NA,NA,NA
"2110","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"2111",NA,"m","single","capricorn",NA,NA,NA
"2112","has cats","m","single","scorpio",NA,NA,"cats"
"2113","likes cats","m","single","libra",NA,"cats",NA
"2114","likes dogs and has cats","m","single","aries",NA,"dogs","cats"
"2115","has dogs and likes cats","f","single","libra",NA,"cats","dogs"
"2116","has dogs and likes cats","f","single","pisces",NA,"cats","dogs"
"2117",NA,"m","seeing someone","gemini",NA,NA,NA
"2118",NA,"m","single","sagittarius",NA,NA,NA
"2119","has dogs and likes cats","f","single","virgo",NA,"cats","dogs"
"2120","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"2121","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"2122","likes dogs and has cats","m","single","scorpio",NA,"dogs","cats"
"2123",NA,"m","single","leo",NA,NA,NA
"2124","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"2125","likes dogs and has cats","m","single","sagittarius",NA,"dogs","cats"
"2126",NA,"f","single","scorpio",NA,NA,NA
"2127","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"2128",NA,"f","single","pisces",NA,NA,NA
"2129","likes dogs and likes cats","f","single","capricorn",NA,"dogs/cats",NA
"2130",NA,"f","single","pisces",NA,NA,NA
"2131",NA,"f","single","libra",NA,NA,NA
"2132",NA,"f","single","aquarius",NA,NA,NA
"2133","has dogs and has cats","f","single","aries",NA,NA,"dogs/cats"
"2134","has dogs","f","single","pisces",NA,NA,"dogs"
"2135","likes dogs","m","single","scorpio",NA,"dogs",NA
"2136","has cats","f","single","leo",NA,NA,"cats"
"2137","likes dogs","f","single","virgo",NA,"dogs",NA
"2138","likes dogs","f","single","sagittarius",NA,"dogs",NA
"2139",NA,"m","single","capricorn",NA,NA,NA
"2140","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"2141",NA,"f","single","leo",NA,NA,NA
"2142","has dogs and likes cats","f","single","capricorn",NA,"cats","dogs"
"2143","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"2144","likes dogs","f","single","pisces",NA,"dogs",NA
"2145","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"2146","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"2147","has dogs and likes cats","f","single","taurus",NA,"cats","dogs"
"2148",NA,"f","single","virgo",NA,NA,NA
"2149",NA,"f","single","cancer",NA,NA,NA
"2150",NA,"f","single","libra",NA,NA,NA
"2151",NA,"f","single","aries",NA,NA,NA
"2152","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"2153","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"2154","has dogs","f","single","gemini",NA,NA,"dogs"
"2155","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"2156",NA,"f","available","pisces",NA,NA,NA
"2157","has dogs and dislikes cats","f","single","gemini","cats","cats","dogs"
"2158","has dogs and likes cats","f","single","taurus",NA,"cats","dogs"
"2159",NA,"f","single","sagittarius",NA,NA,NA
"2160","likes dogs and has cats","f","single","sagittarius",NA,"dogs","cats"
"2161","likes dogs","f","single","leo",NA,"dogs",NA
"2162","likes dogs and has cats","f","single","cancer",NA,"dogs","cats"
"2163","has dogs","f","single","leo",NA,NA,"dogs"
"2164","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"2165","has dogs","f","single","gemini",NA,NA,"dogs"
"2166","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"2167",NA,"f","single","virgo",NA,NA,NA
"2168","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"2169","likes dogs","f","single","libra",NA,"dogs",NA
"2170","likes dogs and has cats","f","single","aries",NA,"dogs","cats"
"2171","has dogs and likes cats","f","single","aquarius",NA,"cats","dogs"
"2172","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"2173","has cats","f","single","virgo",NA,NA,"cats"
"2174","has dogs and likes cats","f","single","virgo",NA,"cats","dogs"
"2175","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"2176","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"2177","likes dogs and has cats","f","single","gemini",NA,"dogs","cats"
"2178",NA,"f","single","taurus",NA,NA,NA
"2179","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"2180","has dogs and has cats","f","single","leo",NA,NA,"dogs/cats"
"2181","has dogs and likes cats","f","single","libra",NA,"cats","dogs"
"2182",NA,"f","single","libra",NA,NA,NA
"2183","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"2184","dislikes dogs and dislikes cats","f","single","cancer","dogs/cats","dogs",NA
"2185","has dogs","f","single","virgo",NA,NA,"dogs"
"2186","has dogs","f","single","aries",NA,NA,"dogs"
"2187","likes dogs and has cats","f","single","aquarius",NA,"dogs","cats"
"2188","likes dogs","f","seeing someone","sagittarius",NA,"dogs",NA
"2189","has dogs","f","single","libra",NA,NA,"dogs"
"2190","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"2191",NA,"f","single","aquarius",NA,NA,NA
"2192","has dogs and likes cats","f","single","gemini",NA,"cats","dogs"
"2193","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"2194",NA,"f","single","pisces",NA,NA,NA
"2195",NA,"m","single","scorpio",NA,NA,NA
"2196",NA,"f","single","libra",NA,NA,NA
"2197","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"2198","likes dogs and has cats","f","single","cancer",NA,"dogs","cats"
"2199",NA,"m","single","taurus",NA,NA,NA
"2200","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"2201","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"2202","has dogs","m","single","taurus",NA,NA,"dogs"
"2203","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"2204","has cats","m","single","scorpio",NA,NA,"cats"
"2205","has dogs and likes cats","m","single","scorpio",NA,"cats","dogs"
"2206","has dogs and has cats","f","single","gemini",NA,NA,"dogs/cats"
"2207","likes dogs","m","single","gemini",NA,"dogs",NA
"2208","dislikes cats","f","single","pisces","cats","cats",NA
"2209","likes cats","m","single","taurus",NA,"cats",NA
"2210","likes dogs and likes cats","m","seeing someone","capricorn",NA,"dogs/cats",NA
"2211",NA,"m","single","leo",NA,NA,NA
"2212","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"2213","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"2214","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"2215","likes dogs and dislikes cats","m","single","gemini","cats","dogs",NA
"2216","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"2217","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"2218","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"2219","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"2220","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"2221",NA,"m","single","pisces",NA,NA,NA
"2222",NA,"m","single","aries",NA,NA,NA
"2223","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"2224",NA,"m","available","scorpio",NA,NA,NA
"2225","likes dogs","m","single","taurus",NA,"dogs",NA
"2226","likes dogs","m","single","sagittarius",NA,"dogs",NA
"2227","has dogs","m","single","sagittarius",NA,NA,"dogs"
"2228",NA,"m","single","cancer",NA,NA,NA
"2229","has dogs","m","single","cancer",NA,NA,"dogs"
"2230","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"2231","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"2232",NA,"m","single","virgo",NA,NA,NA
"2233","likes dogs","m","single","libra",NA,"dogs",NA
"2234","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"2235","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"2236",NA,"m","single","aquarius",NA,NA,NA
"2237","has dogs","m","single","capricorn",NA,NA,"dogs"
"2238",NA,"m","single","cancer",NA,NA,NA
"2239","has dogs and has cats","m","available","capricorn",NA,NA,"dogs/cats"
"2240","likes dogs and likes cats","m","seeing someone","aries",NA,"dogs/cats",NA
"2241","has dogs","m","single","gemini",NA,NA,"dogs"
"2242","likes dogs and likes cats","f","available","leo",NA,"dogs/cats",NA
"2243","likes dogs and has cats","m","single","scorpio",NA,"dogs","cats"
"2244","has dogs and likes cats","f","single","aquarius",NA,"cats","dogs"
"2245",NA,"m","single","taurus",NA,NA,NA
"2246",NA,"m","single","aquarius",NA,NA,NA
"2247",NA,"f","single","leo",NA,NA,NA
"2248","likes dogs","m","single","aries",NA,"dogs",NA
"2249","has dogs and likes cats","m","single","taurus",NA,"cats","dogs"
"2250",NA,"m","single","sagittarius",NA,NA,NA
"2251","has dogs and has cats","m","single","virgo",NA,NA,"dogs/cats"
"2252","likes dogs","m","single","libra",NA,"dogs",NA
"2253",NA,"f","single","leo",NA,NA,NA
"2254",NA,"f","single","gemini",NA,NA,NA
"2255","likes dogs and has cats","f","single","leo",NA,"dogs","cats"
"2256",NA,"m","single","capricorn",NA,NA,NA
"2257","likes cats","f","single","taurus",NA,"cats",NA
"2258","likes dogs and likes cats","m","seeing someone","scorpio",NA,"dogs/cats",NA
"2259","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"2260","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"2261",NA,"m","single","aquarius",NA,NA,NA
"2262","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"2263",NA,"f","seeing someone","cancer",NA,NA,NA
"2264",NA,"f","single","sagittarius",NA,NA,NA
"2265","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"2266","has dogs","m","single","libra",NA,NA,"dogs"
"2267",NA,"m","single","libra",NA,NA,NA
"2268",NA,"m","single","leo",NA,NA,NA
"2269","has dogs and has cats","m","single","sagittarius",NA,NA,"dogs/cats"
"2270",NA,"m","single","taurus",NA,NA,NA
"2271",NA,"f","single","leo",NA,NA,NA
"2272","likes dogs and has cats","m","single","pisces",NA,"dogs","cats"
"2273",NA,"m","single","libra",NA,NA,NA
"2274","likes dogs","m","single","pisces",NA,"dogs",NA
"2275","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"2276","has dogs and likes cats","f","single","sagittarius",NA,"cats","dogs"
"2277","likes dogs","m","single","cancer",NA,"dogs",NA
"2278",NA,"m","single","scorpio",NA,NA,NA
"2279",NA,"f","single","cancer",NA,NA,NA
"2280",NA,"f","single","libra",NA,NA,NA
"2281","likes dogs and has cats","f","seeing someone","libra",NA,"dogs","cats"
"2282","likes cats","m","single","leo",NA,"cats",NA
"2283","has dogs and likes cats","m","single","gemini",NA,"cats","dogs"
"2284",NA,"m","single","scorpio",NA,NA,NA
"2285","likes dogs and likes cats","f","seeing someone","gemini",NA,"dogs/cats",NA
"2286","likes dogs and dislikes cats","m","available","libra","cats","dogs",NA
"2287",NA,"m","single","gemini",NA,NA,NA
"2288","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"2289","likes dogs","m","single","sagittarius",NA,"dogs",NA
"2290","likes dogs and likes cats","f","single","capricorn",NA,"dogs/cats",NA
"2291","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"2292","likes dogs and has cats","f","single","taurus",NA,"dogs","cats"
"2293","likes dogs","f","single","gemini",NA,"dogs",NA
"2294",NA,"m","single","scorpio",NA,NA,NA
"2295","has dogs","m","single","gemini",NA,NA,"dogs"
"2296","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"2297","has dogs","f","single","scorpio",NA,NA,"dogs"
"2298","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"2299",NA,"f","single","libra",NA,NA,NA
"2300","likes dogs and likes cats","m","available","capricorn",NA,"dogs/cats",NA
"2301","likes dogs","f","single","pisces",NA,"dogs",NA
"2302",NA,"f","single","virgo",NA,NA,NA
"2303","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"2304","likes dogs and has cats","f","single","virgo",NA,"dogs","cats"
"2305","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"2306","has dogs","f","single","scorpio",NA,NA,"dogs"
"2307",NA,"f","single","gemini",NA,NA,NA
"2308","has dogs and likes cats","m","single","gemini",NA,"cats","dogs"
"2309","has cats","f","single","virgo",NA,NA,"cats"
"2310","likes dogs and has cats","m","single","taurus",NA,"dogs","cats"
"2311","has dogs","m","single","sagittarius",NA,NA,"dogs"
"2312","likes dogs and likes cats","f","single","capricorn",NA,"dogs/cats",NA
"2313","likes dogs","m","married","taurus",NA,"dogs",NA
"2314","likes dogs","m","single","scorpio",NA,"dogs",NA
"2315",NA,"m","single","taurus",NA,NA,NA
"2316","likes dogs and has cats","f","available","cancer",NA,"dogs","cats"
"2317","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"2318","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"2319",NA,"m","single","aries",NA,NA,NA
"2320","likes dogs and has cats","f","single","capricorn",NA,"dogs","cats"
"2321","likes dogs and has cats","f","single","cancer",NA,"dogs","cats"
"2322","likes dogs","m","single","libra",NA,"dogs",NA
"2323","likes cats","m","single","libra",NA,"cats",NA
"2324",NA,"f","single","leo",NA,NA,NA
"2325","likes dogs","f","single","leo",NA,"dogs",NA
"2326",NA,"m","single","cancer",NA,NA,NA
"2327",NA,"m","single","capricorn",NA,NA,NA
"2328","likes dogs","m","single","aries",NA,"dogs",NA
"2329",NA,"m","single","scorpio",NA,NA,NA
"2330","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"2331","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"2332","likes dogs","f","single","taurus",NA,"dogs",NA
"2333",NA,"m","single","gemini",NA,NA,NA
"2334","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"2335","has dogs","m","single","scorpio",NA,NA,"dogs"
"2336","has dogs and has cats","f","single","pisces",NA,NA,"dogs/cats"
"2337","likes cats","m","single","virgo",NA,"cats",NA
"2338","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"2339",NA,"m","single","libra",NA,NA,NA
"2340",NA,"m","single","cancer",NA,NA,NA
"2341",NA,"m","single","pisces",NA,NA,NA
"2342",NA,"m","single","sagittarius",NA,NA,NA
"2343","likes cats","f","single","leo",NA,"cats",NA
"2344","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"2345","likes dogs","f","single","gemini",NA,"dogs",NA
"2346","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"2347","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"2348","likes dogs","f","single","sagittarius",NA,"dogs",NA
"2349","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"2350",NA,"f","single","leo",NA,NA,NA
"2351",NA,"f","single","cancer",NA,NA,NA
"2352","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"2353","likes dogs and has cats","m","seeing someone","pisces",NA,"dogs","cats"
"2354","likes cats","f","single","libra",NA,"cats",NA
"2355","likes dogs","f","single","virgo",NA,"dogs",NA
